first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Antonio,Rüdiger,Rüdiger,2,0,5,351,5,93.3,284,85,24,2,67.7,243,74,104,389.4,191,70,1710,1,0,0,63,3.1,194.0,201,43,77064,0,61790,0,0.4,10.7,3,0,59,0,0,-1,1
Stuart,Armstrong,Armstrong,3,4,10,301,7,274.9,153,97,25,5,112.4,124,70,323,418.2,178,69,1706,0,0,0,98,3.3,431.0,86,43,139604,0,77343,0,0.7,18.8,4,0,52,0,0,-3,3
Sokratis,Papastathopoulos,Sokratis,2,0,5,305,4,36.8,365,130,25,2,58.5,275,88,5,436.2,166,62,1696,0,0,0,57,3.0,110.0,266,76,182201,0,231413,0,0.0,11.9,6,0,48,0,0,-2,2
Sead,Kolasinac,Kolasinac,2,2,1,331,4,182.5,215,52,26,0,53.0,293,96,3,269.6,264,104,1694,0,0,0,55,2.1,81.0,305,98,65194,0,134275,0,0.5,10.6,4,0,52,0,0,-3,3
Daniel,Ceballos Fernández,Ceballos,3,2,3,310,7,439.9,79,55,21,0,91.7,172,86,469,346.4,215,88,1687,0,0,0,57,2.4,130.0,250,129,1033759,0,1167278,0,0.4,11.0,1,0,52,0,0,-3,3
Fabian,Schär,Schär,2,1,2,297,4,58.3,332,112,38,2,67.8,242,73,252,440.6,160,59,1669,0,0,0,55,2.5,179.0,215,48,159865,0,216510,0,0.0,11.0,5,0,50,0,0,0,0
James,McCarthy,McCarthy,3,0,0,205,2,268.3,157,99,29,0,61.8,264,126,157,268.8,265,108,1668,0,0,0,41,1.2,80.0,306,153,118150,0,106549,0,0.2,9.8,9,0,42,0,0,-3,3
Jan,Vertonghen,Vertonghen,2,1,5,346,4,56.1,336,114,24,1,51.9,296,98,330,398.4,186,68,1644,0,0,0,62,2.7,63.0,331,113,137334,0,275712,0,0.3,11.9,2,0,52,0,0,-3,3
Roberto,Pereyra,Pereyra,3,0,0,194,5,293.4,143,89,27,3,88.0,183,94,369,237.8,286,117,1641,0,0,0,60,2.1,350.0,109,57,38369,0,252494,0,0.2,10.7,4,0,56,0,0,-4,4
Harry,Wilson,Harry Wilson,3,1,7,295,2,242.1,170,106,32,7,128.5,100,58,505,377.4,197,79,1637,0,0,0,91,2.9,667.0,49,25,653284,0,655624,0,0.1,16.0,2,0,57,0,0,-3,3
Dominic,Solanke,Solanke,4,2,3,177,1,202.5,197,29,39,3,99.4,156,33,69,223.2,301,35,1637,0,0,0,69,2.2,569.0,64,30,42272,0,57460,0,0.7,13.5,1,0,51,0,0,-4,4
Paulo,Gazzaniga,Gazzaniga,1,0,6,300,2,10.0,427,7,26,0,46.1,315,21,341,449.8,156,21,1612,0,0,1,58,3.2,0.0,504,24,555624,0,497405,0,0.0,14.1,1,0,41,0,0,-4,4
Javier,Manquillo,Manquillo,2,1,4,288,8,100.8,278,82,21,0,37.3,338,121,256,232.0,290,115,1597,0,0,0,65,3.1,40.0,361,131,37297,0,34910,0,0.5,15.1,5,0,43,0,0,-2,2
Alex,Iwobi,Iwobi,3,0,2,227,4,383.7,105,70,30,1,95.9,164,84,17,246.4,278,113,1591,0,0,0,52,2.1,329.0,122,65,137751,0,244735,0,0.2,9.3,0,0,56,0,0,-4,4
James,Tomkins,Tomkins,2,1,4,260,3,27.7,389,144,23,1,53.3,290,95,124,384.0,194,71,1582,0,0,0,48,2.7,121.0,260,70,88428,0,81565,0,0.0,9.8,5,0,49,0,0,-1,1
Nemanja,Matic,Matic,3,2,2,287,10,250.3,165,103,13,0,66.2,247,119,247,357.4,205,84,1578,0,0,0,55,2.6,53.0,346,167,29913,0,51876,0,0.5,11.5,2,0,48,0,0,-2,2
Cédric,Soares,Cédric,2,1,3,286,4,218.9,186,42,20,1,68.7,237,70,486,349.0,214,81,1553,0,0,0,61,2.9,118.0,265,75,41000,0,41620,0,0.5,12.7,1,0,48,0,0,-2,2
Martin,Kelly,Kelly,2,1,4,288,6,96.5,282,83,16,0,41.7,330,115,128,305.4,237,93,1547,0,0,0,64,3.4,15.0,406,149,2017451,0,2551730,0,0.0,15.6,0,0,41,0,0,1,-1
Jack,Stacey,Stacey,2,2,4,241,1,147.2,242,66,27,0,54.3,286,93,446,308.8,236,92,1547,0,0,0,39,2.1,86.0,297,94,9636,0,15077,0,0.2,9.1,2,0,43,0,0,-2,2
Kortney,Hause,Hause,2,0,0,204,2,33.0,372,132,34,1,63.4,255,80,25,352.8,209,78,1544,0,0,0,34,1.9,248.0,163,25,8119,0,9070,0,0.2,7.7,3,0,44,0,0,-1,1
Matthew,Lowton,Lowton,2,1,1,270,6,181.7,217,54,31,0,49.2,307,102,85,294.2,246,95,1530,0,0,0,48,2.8,15.0,407,150,120253,0,125868,0,0.0,11.4,2,0,42,0,0,-3,3
Conor,Hourihane,Hourihane,3,5,9,328,6,551.8,44,34,29,3,125.3,103,59,28,384.8,193,77,1526,0,0,0,83,3.1,317.0,129,69,21523,0,31679,0,0.5,14.6,4,0,57,0,0,-3,3
Reece,James,James,2,2,5,373,5,428.8,85,17,23,0,91.8,171,45,506,343.6,219,84,1510,0,0,0,61,2.5,143.0,241,61,179840,0,131953,0,0.4,12.4,1,0,49,0,0,-1,1
Adrian,Mariappa,Mariappa,2,0,1,185,3,75.2,302,96,33,0,31.7,354,128,356,216.6,306,117,1509,1,0,0,26,1.3,32.0,370,134,34723,0,37263,0,0.0,6.3,4,1,41,0,0,-4,4
Robert,Snodgrass,Snodgrass,3,5,8,312,3,552.1,43,33,33,5,129.7,96,55,393,422.2,177,68,1504,0,0,0,87,3.6,320.0,127,68,252671,0,236396,0,0.0,17.4,4,0,50,0,0,-5,5
