first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Victor,Lindelöf,Lindelöf,2,0,9,618,12,73.6,305,98,32,1,70.7,230,67,225,554.0,99,39,3092,1,0,0,116,3.3,79.0,308,100,106623,0,135908,0,0.8,21.9,6,0,53,0,0,-2,2
James,McArthur,McArthur,3,4,2,420,11,486.6,57,43,38,0,149.6,69,40,138,586.6,82,26,3091,0,0,0,92,2.5,421.0,91,46,49799,0,128082,0,0.3,17.7,6,0,52,0,0,-3,3
Oliver,Norwood,Norwood,3,3,6,563,13,808.8,18,15,36,1,151.8,66,38,302,608.4,74,22,3089,0,0,0,98,2.6,100.0,282,144,134571,0,114636,0,0.4,20.9,8,0,47,0,0,-3,3
Ederson,Santana de Moraes,Ederson,1,0,2,645,16,16.0,410,4,31,0,62.3,261,15,212,608.6,73,15,3071,0,0,0,133,3.8,0.0,662,72,1248454,0,1642029,0,0.9,21.8,3,1,61,0,0,1,-1
Richarlison,de Andrade,Richarlison,3,5,13,519,9,478.1,63,46,51,13,252.3,19,11,150,814.6,30,9,3070,0,0,0,165,4.6,1233.0,15,5,2397993,0,2404156,0,0.5,20.1,8,0,82,0,0,2,-2
Aaron,Wan-Bissaka,Wan-Bissaka,2,4,16,659,12,443.3,77,14,33,0,132.8,91,15,122,749.2,40,12,3070,0,0,0,127,3.6,133.0,247,64,1616611,0,2525510,0,0.7,23.1,8,0,55,0,0,0,0
Jan,Bednarek,Bednarek,2,1,5,539,7,45.5,351,121,57,1,87.5,186,48,307,729.8,46,16,3057,1,0,0,84,2.5,95.0,290,90,156585,0,119330,0,0.5,19.1,4,0,44,0,0,-1,1
Rúben Diogo,da Silva Neves,Neves,3,2,7,498,13,445.4,75,53,35,2,129.1,97,56,414,538.6,111,38,3053,0,0,0,97,2.6,307.0,132,72,410866,0,676439,0,0.6,18.7,9,0,52,0,0,-3,3
Çaglar,Söyüncü,Söyüncü,2,1,12,681,12,79.0,298,94,35,1,107.5,133,31,164,755.6,37,10,3036,0,0,0,120,3.5,238.0,169,28,2532029,0,2006764,0,0.2,24.5,4,1,49,0,0,4,-4
Jamie,Vardy,Vardy,4,7,34,775,11,418.4,94,11,38,23,288.8,9,4,166,1026.0,5,1,3032,0,1,0,210,6.0,1455.0,8,6,5467849,0,4430099,0,0.6,21.6,3,0,97,0,0,7,-7
Lucas,Digne,Digne,2,8,16,646,9,1112.0,8,2,49,0,215.0,30,3,141,743.0,41,13,3031,1,0,0,120,3.4,293.0,137,22,1552877,0,2263171,0,0.5,20.3,6,0,59,0,0,-1,1
Miguel,Almirón,Almirón,3,2,5,356,12,450.2,71,52,48,4,168.0,55,31,266,481.6,142,55,3020,0,0,0,109,3.0,750.0,44,21,141225,0,146397,0,0.5,18.8,5,0,58,0,0,-2,2
Roberto,Firmino,Firmino,4,9,20,592,16,703.0,26,1,26,9,307.5,6,2,187,733.6,45,8,2985,0,0,0,155,4.1,1638.0,4,2,2182653,0,2310943,0,0.3,16.7,0,0,93,0,0,-2,2
Kepa,Arrizabalaga,Kepa,1,0,0,507,8,0.0,659,73,47,0,50.2,304,20,111,503.6,132,19,2970,0,0,0,90,2.7,0.0,657,71,393135,0,504287,0,0.4,16.7,0,0,54,0,0,-1,1
Kenny,McLean,McLean,3,1,0,424,5,423.9,90,63,63,1,120.4,111,63,286,505.8,130,48,2965,0,0,0,77,2.1,274.0,148,83,13552,0,19029,0,0.3,16.0,5,0,48,0,0,-2,2
Toby,Alderweireld,Alderweireld,2,2,6,576,7,196.0,201,48,39,2,115.2,117,26,331,773.6,33,7,2957,1,0,0,97,2.9,182.0,213,46,406664,0,589063,0,0.8,18.3,7,0,53,0,0,-2,2
Georginio,Wijnaldum,Wijnaldum,3,0,5,503,12,344.1,119,77,28,4,122.0,108,62,199,452.8,153,59,2933,0,0,0,107,2.9,423.0,89,45,343928,0,393941,0,0.5,19.8,0,0,54,0,0,-1,1
Jack,O'Connell,O'Connell,2,1,6,552,12,262.3,160,37,28,0,108.6,129,29,293,576.6,85,32,2915,0,0,0,111,3.4,246.0,165,26,565933,0,438260,0,0.5,24.7,4,0,45,0,0,0,0
Callum,Wilson,Callum Wilson,4,6,8,321,4,391.1,102,13,53,8,162.6,57,21,67,397.4,187,25,2906,0,0,0,116,3.3,848.0,36,20,915252,0,1794434,0,0.4,15.7,9,0,74,0,0,-6,6
Tyrone,Mings,Mings,2,2,9,537,6,87.3,288,87,53,2,96.6,161,42,445,758.0,35,9,2902,0,0,0,90,2.7,119.0,262,72,633337,0,561993,0,0.8,20.5,7,0,44,0,0,-1,1
Jonathan,Castro Otto,Jonny,2,3,6,537,11,379.2,108,23,35,2,122.4,107,21,402,543.6,109,43,2885,0,0,0,123,3.5,299.0,133,20,260112,0,169698,0,0.9,22.4,4,0,55,0,0,0,0
Teemu,Pukki,Pukki,4,3,21,444,6,379.5,107,15,59,11,211.8,31,11,278,545.0,108,14,2884,0,0,0,139,3.9,1202.0,16,11,3977330,0,3753468,0,0.2,21.7,3,0,64,0,0,-1,1
Ben,Mee,Mee,2,2,6,549,13,105.8,272,79,45,1,112.9,122,27,83,658.8,59,22,2880,0,0,0,110,3.4,362.0,106,14,182230,0,188924,0,0.4,22.4,7,0,49,0,0,-1,1
Dan,Burn,Burn,2,0,3,480,9,311.9,135,33,42,0,104.2,141,35,475,602.8,76,29,2879,0,0,0,86,2.5,128.0,253,68,50645,0,40985,0,0.7,19.1,5,0,45,0,0,0,0
Mohamed,Salah,Salah,3,10,26,661,16,834.8,14,11,26,19,405.1,2,2,191,1061.2,3,2,2879,0,0,0,233,6.9,2156.0,1,1,3849393,0,4429958,0,0.4,18.6,1,0,125,0,0,0,0
Mason,Mount,Mount,3,6,11,510,9,814.0,17,14,44,7,242.8,20,12,463,641.2,65,18,2865,0,0,0,137,3.7,974.0,28,12,4341891,0,3712179,0,0.5,22.8,3,0,60,0,0,0,0
Matt,Doherty,Doherty,2,8,15,590,12,340.5,122,26,31,4,160.0,59,5,401,576.2,86,33,2836,0,0,0,167,4.6,681.0,47,1,1494044,0,862351,0,0.7,25.7,1,0,65,0,0,5,-5
Davy,Pröpper,Pröpper,3,2,2,441,6,434.1,81,57,46,1,122.5,106,61,54,522.2,123,44,2826,1,0,0,78,2.2,271.0,150,84,93813,0,99021,0,0.3,16.2,4,0,48,0,0,-2,2
Youri,Tielemans,Tielemans,3,6,5,531,12,805.4,19,16,35,3,187.6,45,24,448,566.6,89,29,2823,0,0,0,117,3.2,502.0,75,37,955051,0,1092963,0,0.4,19.2,2,0,61,0,0,-4,4
David,Luiz Moreira Marinho,David Luiz,2,1,10,494,8,106.7,271,78,42,2,102.1,148,39,106,701.6,53,18,2809,0,0,0,94,2.8,211.0,190,37,352377,0,653363,0,0.5,16.5,5,2,57,0,0,-3,3
Danny,Ings,Ings,4,2,40,736,6,458.3,69,6,44,22,302.4,7,3,313,1010.0,8,2,2800,0,1,0,198,5.2,1558.0,6,4,4571871,0,2485698,0,0.8,26.1,3,0,76,0,0,16,-16
Kevin,De Bruyne,De Bruyne,3,23,35,988,18,1990.8,1,1,22,13,432.1,1,1,215,1322.2,1,1,2790,0,0,0,251,7.2,1005.0,27,11,6122288,0,4010477,0,0.7,23.7,3,0,106,0,0,11,-11
Leander,Dendoncker,Dendoncker,3,0,9,426,11,160.6,233,138,34,4,96.8,160,81,420,529.2,120,41,2790,1,0,0,100,2.6,282.0,141,76,1222056,0,1550368,0,0.8,22.7,5,0,44,0,0,-1,1
Angelo,Ogbonna,Ogbonna,2,0,0,453,7,37.8,363,129,44,2,78.4,204,54,377,579.0,84,31,2786,1,0,0,81,2.6,168.0,226,54,185941,0,154903,0,0.5,18.0,4,0,45,0,0,0,0
Issa,Diop,Diop,2,1,3,424,4,64.3,323,106,54,3,88.7,182,47,381,610.0,72,27,2765,0,0,0,76,2.4,210.0,192,38,316509,0,402877,0,0.7,17.7,8,0,43,0,0,-2,2
Nathan,Redmond,Redmond,3,4,8,412,7,539.1,47,36,51,4,181.2,46,25,320,517.2,126,45,2763,0,0,0,107,3.3,752.0,42,19,145138,0,220893,0,0.6,17.3,2,0,62,0,0,-3,3
Neal,Maupay,Maupay,4,3,21,361,8,369.2,112,17,36,10,240.5,22,8,502,518.6,124,17,2763,0,1,0,131,3.5,1519.0,7,5,643074,0,561993,0,0.5,23.0,3,0,57,0,0,-3,3
Pierre-Emile,Højbjerg,Højbjerg,3,3,1,412,7,469.0,65,48,51,0,133.1,90,51,325,493.0,138,52,2750,0,0,0,75,2.3,368.0,105,54,54962,0,86631,0,0.1,15.6,5,0,48,0,0,-2,2
Sadio,Mané,Mané,3,10,27,689,12,826.6,15,12,28,18,307.7,5,4,192,1010.2,7,3,2745,0,0,0,221,6.3,1239.0,14,4,4436506,0,4215381,0,0.4,18.3,3,0,121,0,0,6,-6
Ryan,Bertrand,Bertrand,2,1,0,432,7,538.5,49,8,52,1,121.1,110,23,305,436.8,164,61,2742,0,0,0,75,2.3,234.0,174,31,100271,0,103024,0,0.6,15.6,3,1,48,0,0,-2,2
Aaron,Cresswell,Cresswell,2,0,5,444,5,441.0,78,15,51,3,115.9,116,25,376,535.4,114,44,2727,0,0,0,79,2.5,180.0,214,47,368188,0,304920,0,0.4,17.6,7,0,45,0,0,-5,5
Romain,Saïss,Saïss,2,2,8,525,10,160.7,232,60,34,2,108.1,131,30,407,621.2,70,26,2703,0,0,0,103,3.1,298.0,134,21,734081,0,352101,0,0.5,21.9,10,1,47,0,0,2,-2
Jefferson,Lerma,Lerma,3,2,2,376,4,189.4,205,126,49,1,79.4,202,105,82,439.0,162,60,2702,0,0,0,65,2.0,169.0,223,118,15689,0,23987,0,0.4,13.5,11,1,48,0,0,-2,2
Serge,Aurier,Aurier,2,7,15,623,9,508.1,53,10,33,1,141.6,79,11,336,655.2,60,23,2699,1,0,0,124,3.8,252.0,160,24,1604925,0,1115196,0,0.8,24.3,2,1,51,0,0,1,-1
Joelinton Cássio,Apolinário de Lira,Joelinton,4,2,3,236,9,433.4,82,10,46,2,140.5,80,23,466,330.8,225,26,2678,0,0,0,78,2.1,641.0,52,24,193086,0,292686,0,0.3,14.2,7,0,55,0,0,-5,5
Mark,Noble,Noble,3,4,8,504,7,602.2,34,27,44,4,131.1,94,54,396,542.2,110,37,2675,0,0,0,105,3.2,164.0,228,120,292607,0,259479,0,0.5,21.4,5,0,49,0,0,-1,1
Wilfred,Ndidi,Ndidi,3,1,5,443,12,254.4,164,102,32,2,107.2,135,73,176,611.6,71,21,2671,0,0,0,85,2.7,205.0,197,106,407315,0,426519,0,0.4,17.0,6,0,50,0,0,0,0
Adam,Webster,Webster,2,1,7,514,5,153.2,235,61,44,3,107.3,134,32,493,696.6,54,19,2668,1,0,0,88,2.8,221.0,182,34,126996,0,101981,0,0.5,20.0,4,0,44,0,0,-1,1
Raheem,Sterling,Sterling,3,6,20,642,13,751.3,23,20,31,20,350.2,3,3,214,921.6,13,4,2651,0,2,0,204,6.2,1829.0,2,2,3032220,0,3657073,0,0.9,17.0,5,0,120,0,0,0,0
Bernd,Leno,Leno,1,0,10,591,7,0.0,635,66,39,0,84.1,190,8,14,843.2,25,8,2649,0,0,1,114,3.8,0.0,629,63,737120,0,865543,0,0.0,23.8,2,0,48,0,0,-2,2
Marcus,Rashford,Rashford,4,8,31,665,9,563.7,40,4,29,17,271.7,15,7,233,887.0,19,5,2645,0,2,0,177,5.7,1265.0,13,10,4296358,0,4395817,0,0.5,19.9,3,0,89,0,0,4,-4
Ben,Godfrey,Godfrey,2,0,0,447,3,57.0,334,113,62,0,78.3,205,55,273,602.8,75,28,2644,1,0,0,38,1.3,119.0,263,73,16794,0,25836,0,0.1,8.6,3,1,44,0,0,-1,1
Etienne,Capoue,Capoue,3,4,7,394,8,313.6,134,83,48,0,90.0,176,89,373,482.8,141,54,2627,0,0,0,78,2.6,102.0,277,141,45067,0,84977,0,0.3,16.2,8,0,48,0,0,-2,2
Anthony,Martial,Martial,3,9,14,544,14,439.3,80,56,27,17,259.4,16,8,239,855.6,22,6,2625,0,1,0,200,6.2,1297.0,11,3,4341987,0,3179579,0,0.9,23.5,1,0,85,0,0,10,-10
James,Maddison,Maddison,3,5,14,548,10,1246.4,3,2,26,6,259.2,17,9,171,642.4,63,17,2624,0,0,0,125,4.0,702.0,46,23,3228528,0,3139013,0,0.0,17.1,4,0,73,0,0,3,-3
Dominic,Calvert-Lewin,Calvert-Lewin,4,1,15,385,8,241.4,172,26,43,13,206.3,34,13,147,562.8,92,12,2621,0,0,0,126,3.5,1272.0,12,9,2164953,0,1743179,0,0.3,20.7,9,0,61,0,0,1,-1
Federico,Fernández,Fernández,2,3,13,507,8,74.5,303,97,42,2,103.7,142,36,254,741.0,42,14,2617,1,0,0,102,3.2,223.0,180,33,480625,0,284436,0,0.3,22.2,8,0,46,0,0,1,-1
Jack,Cork,Cork,3,0,0,301,12,198.2,199,124,41,0,82.4,198,101,102,313.2,233,95,2614,0,0,0,70,2.3,311.0,130,70,14989,0,25944,0,0.1,14.3,1,0,49,0,0,-1,1
Douglas Luiz,Soares de Paulo,Douglas Luiz,3,2,5,411,8,293.2,144,90,51,3,118.0,114,65,470,508.6,128,47,2604,0,0,0,90,2.5,377.0,101,51,940364,0,761792,0,0.5,20.9,8,0,43,0,0,-2,2
Adama,Traoré,Traoré,3,9,14,522,7,786.4,20,17,33,4,209.7,32,18,417,727.2,47,12,2599,0,0,0,130,3.5,583.0,63,32,3191443,0,2346310,0,0.3,23.2,1,0,56,0,0,6,-6
Willian,Borges Da Silva,Willian,3,9,26,698,10,1177.7,7,6,35,9,294.6,8,5,113,834.8,26,7,2595,0,0,0,168,4.7,930.0,30,14,1895856,0,1238111,0,0.8,23.0,4,0,73,0,0,3,-3
Harry,Kane,Kane,4,2,26,587,6,391.0,103,14,36,18,230.6,26,9,338,843.8,24,6,2588,0,0,0,158,5.4,1071.0,23,14,2319478,0,3350838,0,0.6,14.4,4,0,110,0,0,0,0
Granit,Xhaka,Xhaka,3,2,2,408,10,298.5,140,86,31,1,89.9,177,90,18,486.2,140,53,2586,0,0,0,73,2.4,110.0,267,136,82616,0,138134,0,0.6,14.3,10,0,51,0,0,-4,4
Michael,Keane,Keane,2,0,9,490,7,80.0,296,92,42,2,95.2,165,43,143,666.4,57,21,2556,1,0,0,90,2.9,204.0,198,40,206620,0,261203,0,0.4,17.3,3,0,52,0,0,-3,3
Gylfi,Sigurdsson,Sigurdsson,3,4,7,397,6,765.1,22,19,45,2,170.5,54,30,151,454.6,152,58,2555,0,0,0,95,2.7,484.0,77,39,155232,0,839021,0,0.5,13.0,3,0,73,0,0,-7,7
Alisson,Ramses Becker,Alisson,1,1,11,558,13,10.0,431,11,24,0,51.5,297,18,189,503.0,133,20,2543,0,0,0,122,4.2,0.0,663,73,834369,0,2109958,0,0.4,19.7,0,1,62,0,0,2,-2
Philip,Billing,Billing,3,1,5,347,5,239.8,173,107,41,1,112.9,123,69,476,545.4,107,36,2526,0,0,0,68,2.0,342.0,117,61,28012,0,30373,0,0.2,13.9,8,0,49,0,0,-1,1
Dale,Stephens,Stephens,3,1,1,406,6,292.8,145,91,42,0,82.2,199,102,57,438.6,163,61,2525,0,0,0,63,1.9,90.0,295,147,196732,0,297042,0,0.4,14.3,8,0,44,0,0,-1,1
Cheikhou,Kouyaté,Kouyaté,3,2,4,288,10,162.3,229,136,36,1,83.5,192,99,139,394.6,188,74,2524,0,0,0,85,2.4,279.0,144,79,35726,0,36164,0,0.2,17.7,4,0,48,0,0,-2,2
Ricardo Domingos,Barbosa Pereira,Pereira,2,2,11,568,10,446.5,73,13,27,3,141.9,77,10,159,738.0,44,15,2520,0,0,0,123,4.4,235.0,173,30,1585838,0,1530638,0,0.0,19.8,1,0,62,0,0,2,-2
Alex,McCarthy,McCarthy,1,0,8,491,7,10.0,429,9,35,0,66.0,248,14,318,652.0,61,14,2520,0,0,1,104,3.7,0.0,572,55,541411,0,309825,0,0.9,23.1,0,0,45,0,0,0,0
John,Fleck,Fleck,3,2,13,464,8,648.8,28,22,30,5,159.6,60,34,301,527.4,121,42,2515,0,0,0,101,3.4,419.0,94,47,1083527,0,933863,0,0.1,21.5,8,0,47,0,0,-3,3
Luka,Milivojevic,Milivojevic,3,1,9,382,7,499.1,55,41,38,3,114.9,119,66,134,460.0,147,56,2510,0,0,0,81,2.6,190.0,204,109,75590,0,462256,0,0.2,12.1,12,0,67,0,0,-3,3
Patrick,van Aanholt,van Aanholt,2,2,12,523,8,516.0,52,9,38,3,133.4,89,14,123,531.2,117,46,2507,1,0,0,109,3.8,285.0,140,23,994637,0,1176174,0,0.3,19.5,0,0,56,0,0,1,-1
Nathan,Aké,Aké,2,2,6,499,4,92.7,285,86,46,2,111.0,125,28,59,691.2,56,20,2503,0,0,0,79,2.7,326.0,123,17,614610,0,1391080,0,0.3,16.5,2,0,48,0,0,-2,2
Craig,Cathcart,Cathcart,2,0,3,441,9,34.8,368,131,37,0,55.1,283,91,358,458.0,150,55,2488,0,0,0,77,2.7,57.0,339,121,425912,0,493682,0,0.0,18.8,7,0,41,0,0,-4,4
Todd,Cantwell,Cantwell,3,2,10,410,6,493.1,56,42,54,6,165.9,56,32,287,516.4,127,46,2484,0,0,0,111,3.0,656.0,50,26,3957013,0,3213559,0,0.2,24.7,6,0,45,0,0,0,0
Rodrigo,Hernandez,Rodrigo,3,2,5,516,14,532.6,50,38,27,3,132.3,93,53,443,599.2,78,24,2480,0,0,0,92,2.6,193.0,202,107,254768,0,289071,0,0.4,17.4,8,0,53,0,0,-2,2
Heung-Min,Son,Son,3,13,18,544,7,606.1,32,26,32,11,254.6,18,10,342,800.6,32,11,2478,0,1,0,169,5.6,1144.0,18,6,3782131,0,3412666,0,0.6,17.4,0,2,97,0,0,2,-2
Emiliano,Buendía,Buendía,3,7,12,464,3,1196.7,6,5,54,1,231.1,25,16,283,711.6,51,15,2458,0,0,0,94,2.6,401.0,98,49,224010,0,232493,0,0.3,15.7,6,1,60,0,0,0,0
John,Lundstram,Lundstram,2,4,15,539,10,382.9,106,22,29,5,133.9,88,13,297,502.8,134,49,2452,0,0,0,144,4.2,449.0,82,5,4253643,0,2889148,0,0.3,31.3,5,0,46,0,0,6,-6
Jack,Stephens,Stephens,2,3,8,432,7,101.5,276,81,39,1,76.6,209,58,308,566.2,90,35,2451,0,0,0,85,3.0,97.0,287,87,407109,0,270121,0,0.5,19.3,4,1,44,0,0,-1,1
Moussa,Sissoko,Sissoko,3,1,0,386,7,275.7,152,96,31,2,81.0,200,103,349,346.0,216,89,2451,0,0,0,69,2.4,189.0,207,112,236174,0,303943,0,0.4,14.4,8,0,48,0,0,-2,2
Chris,Wood,Wood,4,1,21,384,11,299.6,138,20,33,14,190.8,44,17,91,552.2,101,13,2436,1,0,0,136,4.2,1070.0,24,15,504485,0,442980,0,0.6,21.9,1,0,62,0,0,-3,3
Davinson,Sánchez,Sánchez,2,2,4,443,4,31.0,374,134,37,0,66.5,245,75,333,550.0,104,41,2431,0,0,0,64,2.2,82.0,302,95,62815,0,92382,0,0.3,12.1,6,0,53,0,0,-2,2
Steve,Cook,Steve Cook,2,0,5,362,3,51.5,347,119,48,1,77.2,207,57,58,557.2,96,37,2427,0,0,0,52,1.8,159.0,230,57,44223,0,51015,0,0.1,10.4,6,1,50,0,0,0,0
Fernando,Luiz Rosa,Fernandinho,3,1,1,401,10,146.2,244,142,27,0,87.9,184,95,221,557.6,95,31,2394,1,0,0,55,1.8,175.0,219,116,52286,0,96862,0,0.1,10.8,7,2,51,0,0,-4,4
Kyle,Walker,Walker,2,4,7,573,12,394.4,100,20,24,1,100.1,151,40,203,435.6,168,63,2392,0,0,0,114,3.9,169.0,224,53,1133005,0,1532689,0,0.9,20.0,5,0,57,0,0,-3,3
Joel,Ward,Ward,2,1,8,392,7,117.0,260,73,36,0,59.5,271,85,126,427.0,173,64,2380,0,0,0,77,2.7,49.0,348,125,368837,0,327428,0,0.3,17.9,4,0,43,0,0,-2,2
Jorge Luiz,Frello Filho,Jorginho,3,3,9,535,6,422.4,92,65,40,4,118.4,113,64,118,600.0,77,23,2376,0,0,0,92,3.0,158.0,231,121,662203,0,765115,0,0.3,18.8,10,0,49,0,0,-1,1
Benjamin,Chilwell,Chilwell,2,3,8,501,9,545.4,45,7,26,3,130.0,95,16,161,546.0,106,42,2374,0,0,0,114,4.2,208.0,194,39,1476390,0,1461977,0,0.0,21.1,3,0,54,0,0,-1,1
Craig,Dawson,Dawson,2,0,2,353,4,67.5,317,103,49,2,102.1,147,38,439,550.6,103,40,2359,0,0,0,61,2.1,403.0,97,11,38534,0,37004,0,0.4,12.7,6,0,48,0,0,-2,2
Kurt,Zouma,Zouma,2,0,2,432,7,40.1,359,127,37,0,71.7,224,64,459,518.0,125,47,2343,1,0,0,62,2.2,162.0,229,56,190033,0,295535,0,0.6,13.2,6,0,47,0,0,-3,3
Alexander,Tettey,Tettey,3,1,3,404,5,116.5,261,146,44,1,64.9,250,121,289,358.0,204,83,2339,0,0,0,67,2.2,173.0,222,117,55603,0,51452,0,0.3,15.2,5,0,44,0,0,-1,1
Diego,Rico,Rico,2,5,10,463,6,558.9,41,5,38,0,125.5,101,18,65,596.6,81,30,2333,0,0,0,84,3.1,96.0,288,88,1435141,0,1315917,0,0.8,20.0,6,0,42,0,0,2,-2
John,McGinn,McGinn,3,3,4,321,6,503.3,54,40,41,3,145.9,73,43,31,458.6,148,57,2312,0,0,0,84,3.0,499.0,76,38,1421393,0,1470311,0,0.4,16.2,3,0,52,0,0,-3,3
Jamal,Lewis,Lewis,2,0,3,384,3,262.2,161,38,56,1,83.3,194,52,276,439.0,161,60,2301,0,0,0,48,1.7,130.0,249,66,42120,0,46015,0,0.1,10.9,4,0,44,0,0,-1,1
Matt,Targett,Targett,2,3,10,433,5,432.9,83,16,40,1,106.9,136,33,309,503.8,131,48,2291,0,0,0,80,2.9,130.0,248,65,340828,0,346225,0,0.4,18.6,4,0,43,0,0,-2,2
Yerry,Mina,Mina,2,1,8,419,5,87.2,289,88,37,2,104.4,140,34,142,535.4,115,45,2281,1,0,0,78,2.7,422.0,90,7,422843,0,457271,0,0.1,14.7,3,0,53,0,0,-2,2
Daniel,James,James,3,6,2,308,7,428.1,86,59,29,3,146.0,72,42,243,415.2,180,71,2281,0,0,0,95,2.9,622.0,58,31,1848854,0,1796488,0,0.1,16.7,4,0,57,0,0,-3,3
Diogo,Jota,Jota,4,3,12,348,10,453.3,70,7,28,7,204.9,36,14,410,457.8,151,19,2278,0,0,0,105,3.1,1139.0,19,13,989479,0,1478730,0,0.3,17.5,4,0,60,0,0,-5,5
Sébastien,Haller,Haller,4,3,11,327,5,354.5,114,18,41,7,180.9,47,18,457,450.4,155,20,2259,0,0,0,102,3.2,1012.0,26,16,689889,0,834983,0,0.1,15.0,1,0,68,0,0,-7,7
Christian,Kabasele,Kabasele,2,2,4,382,7,55.3,339,115,35,0,69.9,232,68,354,477.0,143,51,2250,0,0,0,73,2.7,164.0,227,55,91716,0,77584,0,0.2,17.0,1,2,43,0,0,-2,2
Will,Hughes,Hughes,3,1,3,265,5,413.1,97,68,46,1,103.6,144,76,370,352.2,210,86,2249,0,0,0,62,2.1,270.0,151,85,64913,0,71844,0,0.2,11.7,9,0,53,0,0,-2,2
Francisco,Femenía Far,Kiko Femenía,2,1,0,366,5,320.9,132,31,46,0,74.4,216,60,357,363.2,202,75,2236,0,0,0,54,1.9,58.0,336,118,152253,0,143716,0,0.3,12.9,5,0,42,0,0,-3,3
Lucas,Rodrigues Moura da Silva,Lucas Moura,3,5,3,330,6,477.1,64,47,29,4,172.1,52,29,345,494.6,137,51,2235,0,0,0,100,2.9,751.0,43,20,836917,0,1295318,0,0.4,14.3,3,0,70,0,0,-5,5
Ryan,Fredericks,Fredericks,2,3,7,423,7,333.7,125,28,39,0,90.5,174,46,380,491.2,139,50,2235,0,0,0,74,2.7,76.0,314,106,149353,0,149738,0,0.5,16.8,7,0,44,0,0,-1,1
Jordan,Henderson,Henderson,3,5,11,530,16,425.9,88,61,14,4,128.5,99,57,198,582.6,83,27,2234,0,0,0,116,3.9,275.0,146,81,377792,0,375563,0,0.3,22.3,2,0,52,0,0,-3,3
Troy,Deeney,Deeney,4,2,15,403,6,378.5,109,16,39,10,171.4,53,20,362,536.0,113,16,2224,0,1,0,109,4.0,801.0,40,23,378484,0,458663,0,0.8,17.6,3,0,62,0,0,-3,3
Harry,Winks,Winks,3,0,0,369,6,323.4,128,80,31,0,76.1,211,108,347,361.8,203,82,2223,0,0,0,52,1.7,74.0,315,154,21085,0,34189,0,0.4,10.0,9,0,52,0,0,-3,3
Isaac,Hayden,Hayden,3,4,3,309,8,227.6,182,115,36,1,78.5,203,106,271,368.6,199,81,2220,0,0,0,73,2.5,189.0,206,111,571584,0,812192,0,0.1,16.6,4,1,44,0,0,-1,1
Tammy,Abraham,Abraham,4,6,20,461,7,283.2,150,21,34,15,223.3,28,10,460,659.6,58,9,2206,1,0,0,153,4.5,1301.0,10,8,5791038,0,5254123,0,0.3,21.0,2,0,73,0,0,3,-3
Pablo,Fornals,Fornals,3,6,4,346,6,359.7,113,72,35,2,109.2,128,71,399,350.4,213,87,2167,0,0,0,93,2.6,381.0,100,50,42217,0,82515,0,0.4,15.5,3,0,60,0,0,-5,5
Gary,Cahill,Cahill,2,1,4,395,7,40.0,360,128,35,0,83.4,193,51,503,448.4,158,57,2167,0,0,0,70,2.8,342.0,116,15,180390,0,246334,0,0.1,16.3,1,0,43,0,0,-2,2
Frederico,Rodrigues de Paula Santos,Fred,3,0,0,358,6,542.7,46,35,26,0,123.5,105,60,244,430.6,172,65,2157,0,0,0,50,1.7,260.0,157,91,40736,0,40860,0,0.1,9.8,8,0,51,0,0,-4,4
Jonjo,Shelvey,Shelvey,3,2,15,437,8,597.4,35,28,34,6,150.4,67,39,269,559.4,94,30,2118,0,0,0,105,4.0,344.0,114,59,291742,0,257640,0,0.9,21.4,3,0,49,0,0,-1,1
Lukasz,Fabianski,Fabianski,1,0,5,414,5,0.0,639,67,34,0,53.2,292,17,388,531.2,116,17,2117,0,0,1,83,3.3,0.0,635,64,374061,0,567278,0,0.6,16.9,1,0,49,0,0,-1,1
Oliver,McBurnie,McBurnie,4,1,6,300,9,186.9,208,30,25,6,143.7,75,22,501,424.4,174,24,2105,0,0,0,86,2.4,830.0,38,21,107360,0,89856,0,0.6,15.6,4,0,55,0,0,-5,5
Gerard,Deulofeu,Deulofeu,4,5,9,330,8,602.3,33,3,33,4,195.4,41,15,363,458.4,149,18,2097,0,0,0,88,3.1,896.0,32,17,406787,0,679802,0,0.0,14.4,3,0,61,0,0,-4,4
Aaron,Mooy,Mooy,3,2,9,337,6,614.9,31,25,33,2,134.0,87,50,516,436.6,165,62,2079,0,0,0,80,2.6,291.0,138,75,116751,0,108360,0,0.4,17.0,1,1,47,0,0,-3,3
Jamaal,Lascelles,Lascelles,2,0,3,358,8,28.1,386,141,31,1,55.7,281,90,258,403.0,184,66,2076,0,0,0,73,3.0,125.0,255,69,640120,0,840285,0,0.1,17.4,5,0,42,0,0,-3,3
